"version","version_season","season_name","season","full_name","castaway_id","castaway","age","city","state","personality_type","episode","day","order","result","jury_status","original_tribe"
"US","US08","Survivor: All-Stars",8,"Tom Buchanan","US0045","Tom",48,"Rich Valley","Virginia","ESTP",15,36,14,"12th voted out","5th jury member","Chapera"
"US","US08","Survivor: All-Stars",8,"Shii Ann Huang","US0071","Shii Ann",29,"New York City","New York","INTJ",14,33,13,"11th voted out","4th jury member","Mogo Mogo"
"US","US08","Survivor: All-Stars",8,"Alicia Calaway","US0024","Alicia",35,"New York City","New York","ESTJ",13,30,12,"10th voted out","3rd jury member","Chapera"
"US","US08","Survivor: All-Stars",8,"Kathy Vavrick-O'Brien","US0062","Kathy",48,"Burlington","Vermont","ESFJ",12,28,11,"9th voted out","2nd jury member","Mogo Mogo"
"US","US08","Survivor: All-Stars",8,"Lex van den Berghe","US0046","Lex",40,"Santa Cruz","California","ENTJ",11,27,10,"8th voted out","1st jury member","Mogo Mogo"
"US","US08","Survivor: All-Stars",8,"Jerri Manthey","US0025","Jerri",33,"Los Angeles","California","ESFP",10,24,9,"7th voted out",NA,"Saboga"
"US","US08","Survivor: All-Stars",8,"Ethan Zohn","US0048","Ethan",30,"New York City","New York","ISFP",8,21,8,"6th voted out",NA,"Saboga"
"US","US08","Survivor: All-Stars",8,"Colby Donaldson","US0031","Colby",29,"Los Angeles","California","ISTP",7,19,7,"5th voted out",NA,"Mogo Mogo"
"US","US08","Survivor: All-Stars",8,"Susan Hawk","US0013","Sue",42,"Las Vegas","Nevada","ESTP",6,17,6,"Quit",NA,"Chapera"
"US","US08","Survivor: All-Stars",8,"Richard Hatch","US0016","Richard",42,"Middletown","Rhode Island","ENTP",5,15,5,"4th voted out",NA,"Mogo Mogo"
"US","US08","Survivor: All-Stars",8,"Rob Cesternino","US0094","Rob C.",25,"Plainview","New York","ENTP",4,12,4,"3rd voted out",NA,"Chapera"
"US","US08","Survivor: All-Stars",8,"Jenna Morasca","US0096","Jenna M.",22,"Bridgeville","Pennsylvania","ISTP",3,9,3,"Quit",NA,"Mogo Mogo"
"US","US08","Survivor: All-Stars",8,"Rudy Boesch","US0014","Rudy",75,"Virginia Beach","Virginia","ISTJ",2,6,2,"2nd voted out",NA,"Saboga"
"US","US08","Survivor: All-Stars",8,"Tina Wesson","US0032","Tina",42,"Knoxville","Tennessee","ESFJ",1,3,1,"1st voted out",NA,"Saboga"
"US","US09","Survivor: Vanuatu",9,"Chris Daugherty","US0130","Chris",33,"South Vienna","Ohio","ENTP",15,39,18,"Sole Survivor",NA,"Lopevi"
"US","US09","Survivor: Vanuatu",9,"Twila Tanner","US0129","Twila",41,"Marshall","Missouri","ISTJ",15,39,17,"Runner-up",NA,"Yasur"
"US","US09","Survivor: Vanuatu",9,"Scout Cloud Lee","US0128","Scout",59,"Stillwater","Oklahoma","INFJ",14,38,16,"16th voted out","7th jury member","Yasur"
"US","US09","Survivor: Vanuatu",9,"Eliza Orlins","US0127","Eliza",21,"Syracuse","New York","ENTJ",14,37,15,"15th voted out","6th jury member","Yasur"
