"version","version_season","season_name","season","episode","day","tribe_status","tribe","castaway","immunity","vote","vote_event","split_vote","nullified","tie","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id"
"US","US01","Survivor: Borneo",1,12,36,"Merged","Rattana","Sue",NA,"Sean",NA,NA,FALSE,FALSE,"Sean",12,1,"US0013","US0012","US0012"
"US","US01","Survivor: Borneo",1,12,36,"Merged","Rattana","Rudy",NA,"Sean",NA,NA,FALSE,FALSE,"Sean",12,1,"US0014","US0012","US0012"
"US","US01","Survivor: Borneo",1,12,36,"Merged","Rattana","Kelly","Individual","Sean",NA,NA,FALSE,FALSE,"Sean",12,1,"US0015","US0012","US0012"
"US","US01","Survivor: Borneo",1,12,36,"Merged","Rattana","Richard",NA,"Sean",NA,NA,FALSE,FALSE,"Sean",12,1,"US0016","US0012","US0012"
"US","US01","Survivor: Borneo",1,13,37,"Merged","Rattana","Sue",NA,"Richard",NA,NA,FALSE,TRUE,"Sue",13,1,"US0013","US0016","US0013"
"US","US01","Survivor: Borneo",1,13,37,"Merged","Rattana","Rudy",NA,"Sue",NA,NA,FALSE,TRUE,"Sue",13,1,"US0014","US0013","US0013"
"US","US01","Survivor: Borneo",1,13,37,"Merged","Rattana","Kelly",NA,"Richard",NA,NA,FALSE,TRUE,"Sue",13,1,"US0015","US0016","US0013"
"US","US01","Survivor: Borneo",1,13,37,"Merged","Rattana","Richard",NA,"Sue",NA,NA,FALSE,TRUE,"Sue",13,1,"US0016","US0013","US0013"
"US","US01","Survivor: Borneo",1,13,37,"Merged","Rattana","Sue",NA,NA,NA,NA,FALSE,FALSE,"Sue",13,2,"US0013",NA,"US0013"
"US","US01","Survivor: Borneo",1,13,37,"Merged","Rattana","Rudy",NA,"Sue",NA,NA,FALSE,FALSE,"Sue",13,2,"US0014","US0013","US0013"
"US","US01","Survivor: Borneo",1,13,37,"Merged","Rattana","Kelly","Individual","Sue",NA,NA,FALSE,FALSE,"Sue",13,2,"US0015","US0013","US0013"
