"version","version_season","season_name","season","episode","order","castaway","castaway_id","tribe","tribe_status","in_the_game"
"US","US02","Survivor: The Australian Outback",2,3,2,"Amber","US0027","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Rodger","US0028","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Elisabeth","US0029","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Keith","US0030","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Colby","US0031","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,3,2,"Tina","US0032","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Mitchell","US0020","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Kimmi","US0021","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Michael","US0022","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Jeff","US0023","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Alicia","US0024","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Jerri","US0025","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Nick","US0026","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Amber","US0027","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Rodger","US0028","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Elisabeth","US0029","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Keith","US0030","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Colby","US0031","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,4,3,"Tina","US0032","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Kimmi","US0021","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Michael","US0022","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Jeff","US0023","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Alicia","US0024","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Jerri","US0025","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Nick","US0026","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Amber","US0027","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Rodger","US0028","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Elisabeth","US0029","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Keith","US0030","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Colby","US0031","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,5,4,"Tina","US0032","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Michael","US0022","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Jeff","US0023","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Alicia","US0024","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Jerri","US0025","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Nick","US0026","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Amber","US0027","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Rodger","US0028","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Elisabeth","US0029","Kucha","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Keith","US0030","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Colby","US0031","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,6,5,"Tina","US0032","Ogakor","Original",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Jeff","US0023","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Alicia","US0024","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Jerri","US0025","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Nick","US0026","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Amber","US0027","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Rodger","US0028","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Elisabeth","US0029","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Keith","US0030","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Colby","US0031","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,7,6,"Tina","US0032","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Alicia","US0024","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Jerri","US0025","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Nick","US0026","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Amber","US0027","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Rodger","US0028","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Elisabeth","US0029","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Keith","US0030","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Colby","US0031","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,8,7,"Tina","US0032","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,10,8,"Jerri","US0025","Barramundi","Merged",TRUE
