"version","version_season","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0027","Amber","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0030","Keith","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0031","Colby","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,3,9,"US0032","Tina","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0021","Kimmi","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0022","Michael","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0023","Jeff","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0024","Alicia","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0026","Nick","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0028","Rodger","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0029","Elisabeth","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0020","Mitchell","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0025","Jerri","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0027","Amber","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0030","Keith","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0031","Colby","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,4,12,"US0032","Tina","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0021","Kimmi","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0022","Michael","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0023","Jeff","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0024","Alicia","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0026","Nick","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0028","Rodger","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0029","Elisabeth","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0025","Jerri","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0027","Amber","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0030","Keith","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0031","Colby","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,5,15,"US0032","Tina","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0022","Michael","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0023","Jeff","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0024","Alicia","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0026","Nick","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0028","Rodger","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0029","Elisabeth","Kucha","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0025","Jerri","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0027","Amber","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0030","Keith","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0031","Colby","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,6,17,"US0032","Tina","Ogakor","Original"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0023","Jeff","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0024","Alicia","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0025","Jerri","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0026","Nick","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0027","Amber","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0028","Rodger","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0029","Elisabeth","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0030","Keith","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0031","Colby","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,7,21,"US0032","Tina","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0024","Alicia","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0025","Jerri","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0026","Nick","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0027","Amber","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0028","Rodger","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0029","Elisabeth","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0030","Keith","Barramundi","Merged"
