"version","version_season","season_name","season","episode","castaway","castaway_id","confessional_count"
"US","US02","Survivor: The Australian Outback",2,2,"Maralyn","US0019",7
"US","US02","Survivor: The Australian Outback",2,2,"Michael","US0022",4
"US","US02","Survivor: The Australian Outback",2,2,"Mitchell","US0020",5
"US","US02","Survivor: The Australian Outback",2,2,"Nick","US0026",0
"US","US02","Survivor: The Australian Outback",2,2,"Rodger","US0028",3
"US","US02","Survivor: The Australian Outback",2,2,"Tina","US0032",5
"US","US02","Survivor: The Australian Outback",2,3,"Alicia","US0024",4
"US","US02","Survivor: The Australian Outback",2,3,"Amber","US0027",3
"US","US02","Survivor: The Australian Outback",2,3,"Colby","US0031",9
"US","US02","Survivor: The Australian Outback",2,3,"Elisabeth","US0029",4
"US","US02","Survivor: The Australian Outback",2,3,"Jeff","US0023",8
"US","US02","Survivor: The Australian Outback",2,3,"Jerri","US0025",8
"US","US02","Survivor: The Australian Outback",2,3,"Keith","US0030",10
"US","US02","Survivor: The Australian Outback",2,3,"Kimmi","US0021",3
"US","US02","Survivor: The Australian Outback",2,3,"Maralyn","US0019",3
"US","US02","Survivor: The Australian Outback",2,3,"Michael","US0022",3
"US","US02","Survivor: The Australian Outback",2,3,"Mitchell","US0020",8
"US","US02","Survivor: The Australian Outback",2,3,"Nick","US0026",1
"US","US02","Survivor: The Australian Outback",2,3,"Rodger","US0028",3
"US","US02","Survivor: The Australian Outback",2,3,"Tina","US0032",6
"US","US02","Survivor: The Australian Outback",2,4,"Alicia","US0024",1
"US","US02","Survivor: The Australian Outback",2,4,"Amber","US0027",2
"US","US02","Survivor: The Australian Outback",2,4,"Colby","US0031",5
"US","US02","Survivor: The Australian Outback",2,4,"Elisabeth","US0029",0
"US","US02","Survivor: The Australian Outback",2,4,"Jeff","US0023",1
"US","US02","Survivor: The Australian Outback",2,4,"Jerri","US0025",6
"US","US02","Survivor: The Australian Outback",2,4,"Keith","US0030",4
"US","US02","Survivor: The Australian Outback",2,4,"Kimmi","US0021",1
"US","US02","Survivor: The Australian Outback",2,4,"Michael","US0022",4
"US","US02","Survivor: The Australian Outback",2,4,"Mitchell","US0020",3
"US","US02","Survivor: The Australian Outback",2,4,"Nick","US0026",1
"US","US02","Survivor: The Australian Outback",2,4,"Rodger","US0028",2
"US","US02","Survivor: The Australian Outback",2,4,"Tina","US0032",6
"US","US02","Survivor: The Australian Outback",2,5,"Alicia","US0024",3
"US","US02","Survivor: The Australian Outback",2,5,"Amber","US0027",3
"US","US02","Survivor: The Australian Outback",2,5,"Colby","US0031",3
"US","US02","Survivor: The Australian Outback",2,5,"Elisabeth","US0029",3
"US","US02","Survivor: The Australian Outback",2,5,"Jeff","US0023",4
"US","US02","Survivor: The Australian Outback",2,5,"Jerri","US0025",5
"US","US02","Survivor: The Australian Outback",2,5,"Keith","US0030",4
"US","US02","Survivor: The Australian Outback",2,5,"Kimmi","US0021",3
"US","US02","Survivor: The Australian Outback",2,5,"Michael","US0022",6
"US","US02","Survivor: The Australian Outback",2,5,"Nick","US0026",1
"US","US02","Survivor: The Australian Outback",2,5,"Rodger","US0028",3
"US","US02","Survivor: The Australian Outback",2,5,"Tina","US0032",2
"US","US02","Survivor: The Australian Outback",2,6,"Alicia","US0024",4
"US","US02","Survivor: The Australian Outback",2,6,"Amber","US0027",1
"US","US02","Survivor: The Australian Outback",2,6,"Colby","US0031",7
"US","US02","Survivor: The Australian Outback",2,6,"Elisabeth","US0029",2
"US","US02","Survivor: The Australian Outback",2,6,"Jeff","US0023",4
"US","US02","Survivor: The Australian Outback",2,6,"Jerri","US0025",6
"US","US02","Survivor: The Australian Outback",2,6,"Keith","US0030",2
"US","US02","Survivor: The Australian Outback",2,6,"Michael","US0022",1
"US","US02","Survivor: The Australian Outback",2,6,"Nick","US0026",2
"US","US02","Survivor: The Australian Outback",2,6,"Rodger","US0028",2
"US","US02","Survivor: The Australian Outback",2,6,"Tina","US0032",2
"US","US02","Survivor: The Australian Outback",2,7,"Alicia","US0024",4
"US","US02","Survivor: The Australian Outback",2,7,"Amber","US0027",1
"US","US02","Survivor: The Australian Outback",2,7,"Colby","US0031",7
"US","US02","Survivor: The Australian Outback",2,7,"Elisabeth","US0029",3
"US","US02","Survivor: The Australian Outback",2,7,"Jeff","US0023",9
"US","US02","Survivor: The Australian Outback",2,7,"Jerri","US0025",7
"US","US02","Survivor: The Australian Outback",2,7,"Keith","US0030",6
"US","US02","Survivor: The Australian Outback",2,7,"Nick","US0026",3
"US","US02","Survivor: The Australian Outback",2,7,"Rodger","US0028",4
"US","US02","Survivor: The Australian Outback",2,7,"Tina","US0032",7
"US","US02","Survivor: The Australian Outback",2,8,"Alicia","US0024",3
"US","US02","Survivor: The Australian Outback",2,8,"Amber","US0027",1
"US","US02","Survivor: The Australian Outback",2,8,"Colby","US0031",4
"US","US02","Survivor: The Australian Outback",2,8,"Elisabeth","US0029",11
"US","US02","Survivor: The Australian Outback",2,8,"Jerri","US0025",4
"US","US02","Survivor: The Australian Outback",2,8,"Keith","US0030",3
"US","US02","Survivor: The Australian Outback",2,8,"Nick","US0026",1
"US","US02","Survivor: The Australian Outback",2,8,"Rodger","US0028",3
"US","US02","Survivor: The Australian Outback",2,8,"Tina","US0032",3
"US","US02","Survivor: The Australian Outback",2,10,"Amber","US0027",2
"US","US02","Survivor: The Australian Outback",2,10,"Colby","US0031",5
"US","US02","Survivor: The Australian Outback",2,10,"Elisabeth","US0029",1
"US","US02","Survivor: The Australian Outback",2,10,"Jerri","US0025",11
"US","US02","Survivor: The Australian Outback",2,10,"Keith","US0030",3
"US","US02","Survivor: The Australian Outback",2,10,"Nick","US0026",4
"US","US02","Survivor: The Australian Outback",2,10,"Rodger","US0028",0
"US","US02","Survivor: The Australian Outback",2,10,"Tina","US0032",2
"US","US02","Survivor: The Australian Outback",2,11,"Amber","US0027",3
"US","US02","Survivor: The Australian Outback",2,11,"Colby","US0031",4
"US","US02","Survivor: The Australian Outback",2,11,"Elisabeth","US0029",9
"US","US02","Survivor: The Australian Outback",2,11,"Keith","US0030",6
"US","US02","Survivor: The Australian Outback",2,11,"Nick","US0026",3
