"version","version_season","season_name","season","castaway","castaway_id","advantage_id","sequence_id","day","episode","event","played_for","played_for_id","success","votes_nullified"
"US","US30","Survivor: Worlds Apart",30,"Mike","US0460","USHI3003",2,32,12,"Played","Mike","US0460","Yes",4
"US","US31","Survivor: Cambodia",31,"Kelley","US0429","USHI3101",1,3,1,"Found",NA,NA,NA,NA
"US","US31","Survivor: Cambodia",31,"Kelley","US0429","USHI3101",2,21,8,"Played","Kelley","US0429","Yes",9
"US","US31","Survivor: Cambodia",31,"Jeremy","US0433","USHI3102",1,9,3,"Found",NA,NA,NA,NA
"US","US31","Survivor: Cambodia",31,"Jeremy","US0433","USHI3102",2,26,10,"Played","Stephen","US0280","Yes",5
"US","US31","Survivor: Cambodia",31,"Jeremy","US0433","USHI3103",1,22,9,"Found",NA,NA,NA,NA
"US","US31","Survivor: Cambodia",31,"Jeremy","US0433","USHI3103",2,36,14,"Played","Jeremy","US0433","Yes",3
"US","US31","Survivor: Cambodia",31,"Kelley","US0429","USHI3104",1,28,11,"Found",NA,NA,NA,NA
"US","US31","Survivor: Cambodia",31,"Kelley","US0429","USHI3104",2,36,14,"Played","Kelley","US0429","Yes",3
"US","US31","Survivor: Cambodia",31,"Stephen","US0280","USVS3101",1,24,9,"Found",NA,NA,NA,NA
"US","US31","Survivor: Cambodia",31,"Stephen","US0280","USVS3101",2,29,11,"Played","Joe","US0451","No",NA
"US","US32","Survivor: Kaoh Rong",32,"Tai","US0476","USEV3201",1,25,10,"Found",NA,NA,NA,NA
"US","US32","Survivor: Kaoh Rong",32,"Tai","US0476","USEV3201",2,32,12,"Played","Michele","US0478","No",NA
"US","US32","Survivor: Kaoh Rong",32,"Tai","US0476","USHI3201",1,7,3,"Found",NA,NA,NA,NA
"US","US32","Survivor: Kaoh Rong",32,"Tai","US0476","USHI3201",2,37,14,"Expired",NA,NA,NA,NA
"US","US32","Survivor: Kaoh Rong",32,"Jason","US0473","USHI3202",1,7,3,"Found",NA,NA,NA,NA
"US","US32","Survivor: Kaoh Rong",32,"Scot","US0471","USHI3202",2,27,10,"Received",NA,NA,NA,NA
"US","US32","Survivor: Kaoh Rong",32,"Scot","US0471","USHI3202",3,27,10,"Voted out with advantage",NA,NA,NA,NA
"US","US32","Survivor: Kaoh Rong",32,"Neal","US0468","USHI3203",1,12,5,"Found",NA,NA,NA,NA
"US","US32","Survivor: Kaoh Rong",32,"Neal","US0468","USHI3203",2,19,7,"Voted out with advantage",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. Gen X",33,"Jessica","US0489","USHI3301",1,1,1,"Found",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. Gen X",33,"Ken","US0497","USHI3301",2,30,10,"Received",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. Gen X",33,"Ken","US0497","USHI3301",3,36,13,"Played","Ken","US0497","Not needed",1
"US","US33","Survivor: Millennials vs. Gen X",33,"David","US0495","USHI3302",1,5,2,"Found",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. Gen X",33,"David","US0495","USHI3302",2,12,4,"Played","Jessica","US0489","Yes",5
"US","US33","Survivor: Millennials vs. Gen X",33,"Adam","US0498","USHI3303",1,11,4,"Found",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. Gen X",33,"Adam","US0498","USHI3303",2,33,11,"Played","Hannah","US0496","Not needed",4
"US","US33","Survivor: Millennials vs. Gen X",33,"David","US0495","USHI3304",1,13,5,"Found",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. Gen X",33,"David","US0495","USHI3304",2,30,10,"Played","Ken","US0497","Not needed",0
"US","US33","Survivor: Millennials vs. Gen X",33,"Jay","US0493","USHI3305",1,16,6,"Found",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. Gen X",33,"Jay","US0493","USHI3305",2,35,12,"Played","Jay","US0493","Not needed",1
"US","US33","Survivor: Millennials vs. Gen X",33,"Adam","US0498","USHI3306",1,37,13,"Found",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. Gen X",33,"Adam","US0498","USHI3306",2,37,13,"Played","Adam","US0498","Not needed",0
"US","US33","Survivor: Millennials vs. GenX",33,"Adam","US0498","USRS3301",1,21,8,"Found",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. GenX",33,"Jay","US0493","USRS3301",2,31,11,"Received",NA,NA,NA,NA
"US","US33","Survivor: Millennials vs. GenX",33,"Jay","US0493","USRS3301",3,36,13,"Played",NA,NA,"Yes",NA
"US","US34","Survivor: Game Changers",34,"Debbie","US0470","USEV3401",1,14,5,"Found",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Debbie","US0470","USEV3401",2,24,7,"Played","Ozzy","US0201","Not needed",NA
"US","US34","Survivor: Game Changers",34,"Sierra","US0456","USHI3401",1,1,1,"Found",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Sarah","US0414","USHI3401",2,32,10,"Received",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Sarah","US0414","USHI3401",3,36,12,"Played","Sarah","US0414","Yes",3
"US","US34","Survivor: Game Changers",34,"Troyzan","US0364","USHI3402",1,9,2,"Found",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Troyzan","US0364","USHI3402",2,36,12,"Played","Troyzan","US0364","Not needed",0
"US","US34","Survivor: Game Changers",34,"Tai","US0476","USHI3403",1,11,3,"Found",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Tai","US0476","USHI3403",2,11,3,"Played","Sierra","US0456","Yes",6
"US","US34","Survivor: Game Changers",34,"J.T.","US0281","USHI3404",1,12,4,"Found",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"J.T.","US0281","USHI3404",2,13,4,"Voted out with advantage",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Tai","US0476","USHI3405",1,14,5,"Found",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Tai","US0476","USHI3405",2,36,12,"Played","Tai","US0476","Yes",2
"US","US34","Survivor: Game Changers",34,"Tai","US0476","USHI3406",1,14,5,"Found",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Tai","US0476","USHI3406",2,36,12,"Played","Aubry","US0477","Yes",1
"US","US34","Survivor: Game Changers",34,"Sarah","US0414","USVS3401",1,25,8,"Found",NA,NA,NA,NA
"US","US34","Survivor: Game Changers",34,"Sarah","US0414","USVS3401",2,35,11,"Played","Tai","US0476","Yes",NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Lauren","US0510","USEV3501",1,20,8,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Lauren","US0510","USEV3501",2,33,11,"Voted out with advantage",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ryan","US0514","USSI3501",1,1,1,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Chrissy","US0515","USSI3501",2,3,1,"Received",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Chrissy","US0515","USSI3501",3,37,13,"Expired",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Joe","US0509","USHI3502",1,5,2,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Joe","US0509","USHI3502",2,11,4,"Played","Joe","US0509","Yes",2
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Mike","US0512","USHI3503",1,13,5,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Mike","US0512","USHI3503",2,24,9,"Played","Mike","US0512","Not needed",2
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Joe","US0509","USHI3504",1,15,6,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Joe","US0509","USHI3504",2,19,7,"Played","Joe","US0509","Not needed",0
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ryan","US0514","USHI3505",1,20,8,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ryan","US0514","USHI3505",2,30,10,"Played","Ryan","US0514","Not needed",2
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ben","US0516","USHI3506",1,27,10,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ben","US0516","USHI3506",2,33,11,"Played","Ben","US0516","Yes",6
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Lauren","US0510","USHI3507",1,31,11,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Lauren","US0510","USHI3507",2,33,11,"Activated",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Lauren","US0510","USHI3507",3,33,11,"Voted out with advantage",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Lauren","US0510","USHI3507b",1,33,11,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Mike","US0512","USHI3507b",2,33,11,"Received",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Mike","US0512","USHI3507b",3,37,11,"Destroyed",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ben","US0516","USHI3508",1,36,12,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ben","US0516","USHI3508",2,36,12,"Played","Ben","US0516","Not needed",0
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ben","US0516","USHI3509",1,37,13,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Ben","US0516","USHI3509",2,37,13,"Played","Ben","US0516","Yes",3
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Jessica","US0505","USVB3501",1,9,4,"Found",NA,NA,NA,NA
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Jessica","US0505","USVB3501",2,11,4,"Played","Devon","US0513","Yes",NA
"US","US36","Survivor: Ghost Island",36,"Kellyn","US0530","USEV3601",1,18,6,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Kellyn","US0530","USEV3601",2,29,10,"Played","Laurel","US0534","No",NA
"US","US36","Survivor: Ghost Island",36,"Sebastian","US0531","USEV3602",1,33,12,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Sebastian","US0531","USEV3602",2,36,13,"Voted out with advantage",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Jacob","US0518","USHI3601",1,3,1,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Morgan","US0519","USHI3601",2,4,1,"Received",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Domenick","US0535","USHI3601",3,9,2,"Received",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Domenick","US0535","USHI3601",4,22,7,"Played","Domenick","US0535","Not needed",0
"US","US36","Survivor: Ghost Island",36,"Domenick","US0535","USHI3602",1,4,1,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Domenick","US0535","USHI3602",2,37,13,"Played","Domenick","US0535","Not needed",0
"US","US36","Survivor: Ghost Island",36,"Michael","US0528","USHI3603",1,8,2,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Michael","US0528","USHI3603",2,12,3,"Played","Stephanie","US0521","Not needed",0
"US","US36","Survivor: Ghost Island",36,"Michael","US0528","USHI3604",1,18,6,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Michael","US0528","USHI3604",2,25,8,"Played","Michael","US0528","Yes",7
"US","US36","Survivor: Ghost Island",36,"Wendell","US0536","USHI3605",1,18,6,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Wendell","US0536","USHI3605",2,37,13,"Played","Laurel","US0534","Not needed",1
"US","US36","Survivor: Ghost Island",36,"Chris","US0524","USHI3606",1,20,7,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Chris","US0524","USHI3606",2,22,7,"Voted out with advantage",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Donathan","US0532","USHI3607",1,27,9,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Donathan","US0532","USHI3607",2,27,9,"Activated",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Donathan","US0532","USHI3607",3,29,10,"Played","Donathan","US0532","Not needed",1
"US","US36","Survivor: Ghost Island",36,"Donathan","US0532","USHI3607b",1,27,9,"Found",NA,NA,NA,NA
"US","US36","Survivor: Ghost Island",36,"Donathan","US0532","USHI3607b",2,29,10,"Absorbed",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Dan","US0546","USHI3701",1,2,1,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Dan","US0546","USHI3701",2,22,8,"Played","Angelina","US0554","Not needed",2
"US","US37","Survivor: David vs. Goliath",37,"Davie","US0551","USHI3702",1,4,2,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Davie","US0551","USHI3702",2,22,8,"Played","Christian","US0550","Yes",7
"US","US37","Survivor: David vs. Goliath",37,"Dan","US0546","USHI3703",1,15,5,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Dan","US0546","USHI3703",2,25,9,"Played","Dan","US0546","No",0
"US","US37","Survivor: David vs. Goliath",37,"Christian","US0550","USHI3704",1,24,9,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Christian","US0550","USHI3704",2,32,11,"Played","Christian","US0550","Yes",5
"US","US37","Survivor: David vs. Goliath",37,"Nick","US0556","USHI3705",1,26,10,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Nick","US0556","USHI3705",2,35,12,"Played","Nick","US0556","Not needed",0
